archivo,evento,logo,descripcion,fecha
resultados_endurance.csv,Endurance,ENDURANCE.png,Campeonato Nacional XCM - Copa Endurance,13 de julio 2025
resultados_reto.csv,Reto,RETO.png,Copa El Reto,13 de julio 2025
